heading_ID,name_he,label
heading620,225.2,heading
heading621,138.0,heading
heading622,160.3,heading
heading623,170.6,heading
heading624,44.1,heading
heading625,151.8,heading
heading626,272.0,heading
heading627,78.1,heading
heading628,218.3,heading
heading629,67.7,heading
heading630,183.1,heading
heading631,272.6,heading
heading632,156.8,heading
heading633,88.3,heading
heading634,271.0,heading
heading635,140.8,heading
heading636,294.2,heading
heading637,269.7,heading
heading638,198.0,heading
heading639,3.6000001000000004,heading
heading640,109.4,heading
heading641,28.7,heading
heading642,185.0,heading
heading643,170.0,heading
heading644,295.4,heading
heading645,278.3,heading
heading646,283.5,heading
heading647,307.0,heading
heading648,286.0,heading
heading649,171.0,heading
heading650,65.5,heading
heading651,39.1,heading
heading652,25.0,heading
heading653,239.2,heading
heading654,198.2,heading
heading655,6.1,heading
heading656,82.3,heading
heading657,84.5,heading
heading658,75.5,heading
heading659,153.6,heading
heading660,184.0,heading
heading661,176.0,heading
heading662,117.0,heading
heading663,6.0,heading
heading664,17.0,heading
heading665,29.300001,heading
heading666,132.7,heading
heading667,10.4,heading
heading668,96.200005,heading
heading669,16.0,heading
heading670,327.0,heading
heading671,311.5,heading
heading672,38.5,heading
heading673,199.0,heading
heading674,261.0,heading
heading675,101.0,heading
heading676,218.90001,heading
heading677,46.5,heading
heading678,270.4,heading
heading679,1.1,heading
heading680,293.2,heading
heading681,243.6,heading
heading682,15.0,heading
heading683,339.2,heading
heading684,84.1,heading
heading685,49.1,heading
heading686,207.0,heading
heading687,125.0,heading
heading688,36.2,heading
heading689,238.9,heading
heading690,295.5,heading
heading691,292.2,heading
heading692,28.300001,heading
heading693,18.0,heading
heading694,269.9,heading
heading695,165.0,heading
heading696,358.7,heading
heading697,173.90001,heading
heading698,62.600002,heading
heading699,264.2,heading
heading700,175.0,heading
heading701,290.1,heading
heading702,268.9,heading
heading703,317.8,heading
heading704,333.2,heading
heading705,329.80002,heading
heading706,288.2,heading
heading707,19.3,heading
heading708,86.1,heading
heading709,327.6,heading
heading710,335.2,heading
heading711,101.0,heading
heading712,162.0,heading
heading713,14.6,heading
heading714,262.0,heading
heading715,311.6,heading
heading716,7.2,heading
heading717,94.0,heading
heading718,153.40001,heading
heading719,248.2,heading
heading720,30.6,heading
heading721,174.2,heading
heading722,292.2,heading
heading723,64.1,heading
heading724,254.0,heading
heading725,325.5,heading
heading726,118.5,heading
heading727,355.6,heading
heading728,236.1,heading
heading729,292.7,heading
heading730,304.9,heading
heading731,237.2,heading
heading732,141.0,heading
heading733,89.5,heading
heading734,57.0,heading
heading735,305.8,heading
heading736,122.2,heading
heading737,179.2,heading
heading738,35.0,heading
heading739,183.2,heading
heading740,99.8,heading
heading741,345.7,heading
heading742,234.0,heading
heading743,271.0,heading
heading744,143.3,heading
heading745,71.5,heading
heading746,324.30002,heading
heading747,95.8,heading
heading748,95.700005,heading
heading749,207.2,heading
heading750,165.8,heading
heading751,6.0,heading
heading752,112.0,heading
heading753,68.7,heading
heading754,59.4,heading
heading755,286.2,heading
heading756,29.1,heading
heading757,283.1,heading
heading758,152.9,heading
heading759,306.0,heading
heading760,93.4,heading
heading761,348.0,heading
heading762,47.9,heading
heading763,127.1,heading
heading764,335.1,heading
heading765,201.6,heading
heading766,27.4,heading
heading767,203.8,heading
heading768,122.8,heading
heading769,222.3,heading
heading770,184.0,heading
heading771,150.0,heading
heading772,19.7,heading
heading773,86.9,heading
heading774,28.800001,heading
heading775,357.0,heading
heading776,288.0,heading
heading777,268.3,heading
heading778,231.6,heading
heading779,352.7,heading
heading780,308.5,heading
heading781,347.5,heading
heading782,18.1,heading
heading783,24.6,heading
heading784,52.600002,heading
heading785,163.90001,heading
heading786,358.0,heading
heading787,114.8,heading
heading788,41.0,heading
heading789,0.4,heading
heading790,34.100002,heading
heading791,148.3,heading
heading792,259.1,heading
heading793,335.80002,heading
heading794,150.0,heading
heading795,281.0,heading
heading796,59.9,heading
heading797,242.8,heading
heading798,282.6,heading
heading799,329.4,heading
heading800,207.0,heading
heading801,277.0,heading
heading802,85.0,heading
heading803,300.2,heading
heading804,317.6,heading
heading805,54.100002,heading
heading806,76.0,heading
heading807,273.2,heading
heading808,94.0,heading
heading809,2.9,heading
heading810,255.0,heading
heading811,140.8,heading
heading812,57.8,heading
heading813,258.0,heading
heading814,3.5,heading
heading815,15.3,heading
heading816,38.100002,heading
heading817,198.7,heading
heading818,54.6,heading
heading819,307.80002,heading
heading820,133.7,heading
heading821,209.0,heading
heading822,198.40001,heading
heading823,140.0,heading
heading824,212.0,heading
heading825,91.0,heading
heading826,315.2,heading
heading827,61.4,heading
heading828,125.0,heading
heading829,199.6,heading
heading830,353.8,heading
heading831,257.5,heading
heading832,286.7,heading
heading833,20.6,heading
heading834,97.6,heading
heading835,226.0,heading
heading836,,heading
heading837,35.0,heading
heading838,7.7,heading
heading839,109.0,heading
heading840,0.0,heading
heading841,161.0,heading
heading842,170.7,heading
heading843,36.8,heading
heading844,157.0,heading
heading845,285.2,heading
heading846,21.8,heading
heading847,326.8,heading
heading848,205.0,heading
heading849,285.5,heading
heading850,130.6,heading
heading851,32.5,heading
heading852,295.5,heading
heading853,165.6,heading
heading854,353.30002,heading
heading855,336.4,heading
heading856,334.0,heading
heading857,186.9,heading
heading858,250.1,heading
heading859,272.3,heading
heading860,224.7,heading
heading861,53.0,heading
heading862,219.0,heading
heading863,162.2,heading
heading864,350.0,heading
heading865,311.0,heading
heading866,107.9,heading
heading867,0.0,heading
heading868,18.0,heading
heading869,5.5,heading
heading870,337.2,heading
